_ 1685166286854
altSeqLiftOverPsl hide
c chr2
cartVersion 3
centerLabels 1
clade mammal
cons100way hide
db hg38
dbSnp155Composite hide
dinkL 2.0
dinkR 2.0
enableHighlightingDialog 1
encodeCcreCombined hide
exonNumbers 1
expOrder_cons100way phyloP100way 
expOrder_wgEncodeReg wgEncodeRegMarkH3k27ac 
fixSeqLiftOverPsl hide
gtexGeneV8 hide
guidelines 1
hgHubConnect.hub.195138 1
hgS_loadUrlName 
hgS_otherUserName 
hgS_otherUserSessionName 
hgS_saveLocalFileCompress none
hgS_saveLocalFileName FL-circAS_session.txt
hgTracksConfigPage 
hgsid 795415906_jYPHpVSX1ka9MrOlt2VQE2x3gHR0
hgt.labelWidth 40
hgt_configGroupTarget none
hgtgroup_compGeno_close 0
hgtgroup_covid_close 0
hgtgroup_expression_close 0
hgtgroup_genes_close 0
hgtgroup_hub_195138_close 0
hgtgroup_map_close 0
hgtgroup_phenDis_close 0
hgtgroup_regulation_close 0
hgtgroup_rep_close 0
hgtgroup_rna_close 0
hgtgroup_singleCell_close 0
hgtgroup_varRep_close 0
hub_195138_isoform_track_imgOrd 2
ideogram 1
jsh_pageVertPos 0
knownGene_imgOrd 1
l 25158916
lastPosition chr2:25158917-25170900
lastVirtModeExtraState 
lastVirtModeType default
leftLabels 1
nextExonArrows 1
nextItemArrows 0
oldPosition chr2:25158917-25170900
omimAvSnp hide
omimGene2_imgOrd 3
org Human
pix 1450
position chr2:25158917-25170900
position.hg38 lastVirtModeType=default&lastVirtModeExtraState=&virtModeType=default&virtMode=0&nonVirtPosition=&position=chr2%3A25158917%2D25170900
r 25170900
redirect manual
refSeqComposite hide
rmsk hide
ruler dense
simOrder_cons100way phyloP100way 
simOrder_wgEncodeReg wgEncodeRegMarkH3k27ac 
source genome.ucsc.edu
textFont Helvetica
textSize 12
textStyle Normal
tgpTrios hide
topSubmit submit
trackControlsOnMain 1
trackHubs 195138
virtMode 0
virtModeType default
wgEncodeReg hide
assumesHub 195138=https://raw.githubusercontent.com/song-en/FL-circAS/main/hub.txt 
dbSnp153Composite pack
cpgIslandExt pack
crossTissueMapsTissueCellType pack
knownGene pack
gnomadGenomesVariantsV3_1_1 squish
jarvis dense
recombAvg full
lincRNAsAllCellTypeTopView dense
wgEncodeRegMarkH3k27ac full
hmc full
recombPat full
gtexImmuneAtlasFullDetails pack
recombMat full
recomb1000GAvg full
transMapEnsemblV5 pack
transMapRefSeqV5 pack
ukbDepletion dense
wgEncodeGencodeV43 pack
affyGnf1h pack
affyU133 pack
affyU95 pack
augustusGene pack
bismap full
bloodHaoCellType pack
cadd dense
tcgaGeneExpr pack
tcgaTranscExpr pack
cytoBandIdeo dense
colonWangCellType pack
cortexVelmeshevCellType pack
dbVar_common pack
dbVar_conflict pack
caddDel dense
fetalGeneAtlasCellType pack
heartAtlasCellTypes pack
ileumWangCellType pack
caddIns dense
kidneyStewartCellType pack
lincRNAsTranscripts pack
liverMacParlandCellType pack
lungTravaglini2020CellType10x pack
mastermind dense
muscleDeMicheliCellType pack
omimGene2 dense
pancreasBaronCellType pack
placentaVentoTormoCellType10x pack
placentaVentoTormoLocation10x pack
placentaVentoTormoLocationSs2 pack
rectumWangCellType pack
skinSoleBoldoCellType pack
tabulaSapiensTissueCellType pack
umap full
defaultsSet on
